MASS (MeV)   | SCALE      | k    | TOPOLOGY        | LIFETIME (s) | STATUS
67957.75     | BARYON     | 433  | Spinor (+0.5)   | 5.8e-19      | PREDICTION (Resonance)
67987.95     | LEPTON     | 653  | Perfect (0)     | STABLE       | PREDICTION (Stable)
67994.52     | MESON      | 971  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68023.45     | BARYON     | 435  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68064.54     | MESON      | 972  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68092.07     | LEPTON     | 654  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68111.96     | LEPTON     | 659  | Vector (-1.0)   | 3.5e-20      | PREDICTION (Resonance)
68134.57     | MESON      | 973  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68147.99     | BARYON     | 439  | Vector (-1.0)   | 2.7e-19      | PREDICTION (Resonance)
68179.82     | BARYON     | 436  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68196.19     | LEPTON     | 655  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68204.60     | MESON      | 974  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68204.80     | BARYON     | 433  | Vector (+1.0)   | 2.9e-19      | PREDICTION (Resonance)
68236.02     | LEPTON     | 653  | Spinor (+0.5)   | 7.4e-20      | PREDICTION (Resonance)
68263.41     | BARYON     | 443  | Sphere (-2.0)   | 1.3e-19      | PREDICTION (Resonance)
68274.62     | MESON      | 975  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68300.30     | LEPTON     | 656  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68318.67     | LEPTON     | 661  | Vector (-1.0)   | 3.5e-20      | PREDICTION (Resonance)
68336.20     | BARYON     | 437  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68344.65     | MESON      | 976  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68346.40     | LEPTON     | 647  | Sphere (+2.0)   | 2.0e-20      | PREDICTION (Resonance)
68362.31     | LEPTON     | 659  | Spinor (-0.5)   | 7.0e-20      | PREDICTION (Resonance)
68381.60     | BARYON     | 431  | Sphere (+2.0)   | 1.5e-19      | PREDICTION (Resonance)
68398.47     | BARYON     | 439  | Spinor (-0.5)   | 5.4e-19      | PREDICTION (Resonance)
68404.42     | LEPTON     | 657  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68414.67     | MESON      | 977  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68484.09     | LEPTON     | 653  | Vector (+1.0)   | 3.7e-20      | PREDICTION (Resonance)
68484.70     | MESON      | 978  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68492.57     | BARYON     | 438  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68508.54     | LEPTON     | 658  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68554.72     | MESON      | 979  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68569.78     | LEPTON     | 661  | Spinor (-0.5)   | 6.9e-20      | PREDICTION (Resonance)
68612.65     | LEPTON     | 659  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68624.75     | MESON      | 980  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68648.95     | BARYON     | 439  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68694.77     | MESON      | 981  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68698.91     | BARYON     | 433  | Sphere (+2.0)   | 1.5e-19      | PREDICTION (Resonance)
68716.77     | LEPTON     | 660  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68764.80     | MESON      | 982  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68768.93     | BARYON     | 443  | Vector (-1.0)   | 2.6e-19      | PREDICTION (Resonance)
68805.32     | BARYON     | 440  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68820.88     | LEPTON     | 661  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68834.82     | MESON      | 983  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68863.00     | LEPTON     | 659  | Spinor (+0.5)   | 7.1e-20      | PREDICTION (Resonance)
68899.43     | BARYON     | 439  | Spinor (+0.5)   | 5.4e-19      | PREDICTION (Resonance)
68904.85     | MESON      | 984  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68925.00     | LEPTON     | 662  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68961.70     | BARYON     | 441  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68974.87     | MESON      | 985  | Perfect (0)     | STABLE       | PREDICTION (Stable)
68980.22     | LEPTON     | 653  | Sphere (+2.0)   | 1.9e-20      | PREDICTION (Resonance)
69021.69     | BARYON     | 443  | Spinor (-0.5)   | 5.1e-19      | PREDICTION (Resonance)
69029.12     | LEPTON     | 663  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69044.90     | MESON      | 986  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69047.62     | LEPTON     | 673  | Sphere (-2.0)   | 1.6e-20      | PREDICTION (Resonance)
69071.99     | LEPTON     | 661  | Spinor (+0.5)   | 6.9e-20      | PREDICTION (Resonance)
69113.34     | LEPTON     | 659  | Vector (+1.0)   | 3.5e-20      | PREDICTION (Resonance)
69114.92     | MESON      | 987  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69118.08     | BARYON     | 442  | Perfect (0)     | STABLE       | PREDICTION (Stable)
