Theory_MeV,Scale_Type,k_Node,Is_Prime,Stability_Score,Status,Match_Name,Error_Percent
12674.5705,MESON (A^-1),181,True,30,NOISE,,
12822.8105,BARYON (Pi^5),82,False,60,RESONANCE,,
12979.1862,BARYON (Pi^5),83,True,90,PREDICTION,,
13135.5620,BARYON (Pi^5),84,False,60,RESONANCE,,
13291.9377,BARYON (Pi^5),85,False,60,RESONANCE,,
13374.8231,MESON (A^-1),191,True,30,NOISE,,
13448.3134,BARYON (Pi^5),86,False,60,RESONANCE,,
13514.8736,MESON (A^-1),193,True,30,NOISE,,
13604.6892,BARYON (Pi^5),87,False,60,RESONANCE,,
13761.0649,BARYON (Pi^5),88,False,60,RESONANCE,,
13794.9746,MESON (A^-1),197,True,30,NOISE,,
13917.4406,BARYON (Pi^5),89,True,90,PREDICTION,,
13935.0251,MESON (A^-1),199,True,30,NOISE,,
14073.8164,BARYON (Pi^5),90,False,60,RESONANCE,,
14230.1921,BARYON (Pi^5),91,False,60,RESONANCE,,
14386.5679,BARYON (Pi^5),92,False,60,RESONANCE,,
14542.9436,BARYON (Pi^5),93,False,60,RESONANCE,,
14699.3193,BARYON (Pi^5),94,False,60,RESONANCE,,
14775.3281,MESON (A^-1),211,True,30,NOISE,,
14855.6951,BARYON (Pi^5),95,False,60,RESONANCE,,
15012.0708,BARYON (Pi^5),96,False,60,RESONANCE,,
15168.4465,BARYON (Pi^5),97,True,90,PREDICTION,,
15324.8223,BARYON (Pi^5),98,False,60,RESONANCE,,
15481.1980,BARYON (Pi^5),99,False,60,RESONANCE,,
15615.6311,MESON (A^-1),223,True,30,NOISE,,
15637.5738,BARYON (Pi^5),100,False,60,RESONANCE,,
15793.9495,BARYON (Pi^5),101,True,50,RESONANCE,,
15895.7321,MESON (A^-1),227,True,30,NOISE,,
16035.7826,MESON (A^-1),229,True,30,NOISE,,
16106.7010,BARYON (Pi^5),103,True,50,RESONANCE,,
16315.8836,MESON (A^-1),233,True,30,NOISE,,
16732.2039,BARYON (Pi^5),107,True,50,RESONANCE,,
16736.0351,MESON (A^-1),239,True,30,NOISE,,
16876.0856,MESON (A^-1),241,True,30,NOISE,,
17044.9554,BARYON (Pi^5),109,True,50,RESONANCE,,
17576.3382,MESON (A^-1),251,True,30,NOISE,,
17670.4583,BARYON (Pi^5),113,True,50,RESONANCE,,
17996.4897,MESON (A^-1),257,True,30,NOISE,,
18416.6412,MESON (A^-1),263,True,30,NOISE,,
18836.7927,MESON (A^-1),269,True,30,NOISE,,
18976.8432,MESON (A^-1),271,True,30,NOISE,,
19396.9947,MESON (A^-1),277,True,30,NOISE,,
19677.0957,MESON (A^-1),281,True,30,NOISE,,
19817.1462,MESON (A^-1),283,True,30,NOISE,,
19859.7187,BARYON (Pi^5),127,True,50,RESONANCE,,
20485.2216,BARYON (Pi^5),131,True,50,RESONANCE,,
20517.3987,MESON (A^-1),293,True,30,NOISE,,
21423.4761,BARYON (Pi^5),137,True,50,RESONANCE,,
21497.7523,MESON (A^-1),307,True,30,NOISE,,
21736.2275,BARYON (Pi^5),139,True,50,RESONANCE,,
21777.8533,MESON (A^-1),311,True,30,NOISE,,
21917.9038,MESON (A^-1),313,True,30,NOISE,,
22198.0048,MESON (A^-1),317,True,30,NOISE,,
23178.3583,MESON (A^-1),331,True,30,NOISE,,
23299.9849,BARYON (Pi^5),149,True,50,RESONANCE,,
23598.5098,MESON (A^-1),337,True,30,NOISE,,
23612.7364,BARYON (Pi^5),151,True,50,RESONANCE,,
24298.7623,MESON (A^-1),347,True,30,NOISE,,
24438.8128,MESON (A^-1),349,True,30,NOISE,,
24550.9908,BARYON (Pi^5),157,True,50,RESONANCE,,
24718.9138,MESON (A^-1),353,True,30,NOISE,,
25139.0653,MESON (A^-1),359,True,30,NOISE,,
25489.2452,BARYON (Pi^5),163,True,50,RESONANCE,,
25699.2674,MESON (A^-1),367,True,30,NOISE,,
26114.7482,BARYON (Pi^5),167,True,50,RESONANCE,,
26119.4189,MESON (A^-1),373,True,30,NOISE,,
26539.5704,MESON (A^-1),379,True,30,NOISE,,
26819.6714,MESON (A^-1),383,True,30,NOISE,,
27053.0026,BARYON (Pi^5),173,True,50,RESONANCE,,
27239.8229,MESON (A^-1),389,True,30,NOISE,,
27800.0249,MESON (A^-1),397,True,30,NOISE,,
27991.2570,BARYON (Pi^5),179,True,50,RESONANCE,,
28080.1259,MESON (A^-1),401,True,30,NOISE,,
28304.0085,BARYON (Pi^5),181,True,50,RESONANCE,,
28640.3279,MESON (A^-1),409,True,30,NOISE,,
29340.5804,MESON (A^-1),419,True,30,NOISE,,
29480.6309,MESON (A^-1),421,True,30,NOISE,,
29867.7659,BARYON (Pi^5),191,True,50,RESONANCE,,
30146.6613,BOSON (A^-2),1,False,70,PREDICTION,,
30180.5174,BARYON (Pi^5),193,True,50,RESONANCE,,
30180.8835,MESON (A^-1),431,True,30,NOISE,,
30320.9340,MESON (A^-1),433,True,30,NOISE,,
30741.0855,MESON (A^-1),439,True,30,NOISE,,
30806.0203,BARYON (Pi^5),197,True,50,RESONANCE,,
31021.1865,MESON (A^-1),443,True,30,NOISE,,
31118.7718,BARYON (Pi^5),199,True,50,RESONANCE,,
31441.3380,MESON (A^-1),449,True,30,NOISE,,
32001.5400,MESON (A^-1),457,True,30,NOISE,,
32281.6410,MESON (A^-1),461,True,30,NOISE,,
32421.6915,MESON (A^-1),463,True,30,NOISE,,
32701.7925,MESON (A^-1),467,True,30,NOISE,,
32995.2806,BARYON (Pi^5),211,True,50,RESONANCE,,
33542.0955,MESON (A^-1),479,True,30,NOISE,,
34102.2976,MESON (A^-1),487,True,30,NOISE,,
34382.3986,MESON (A^-1),491,True,30,NOISE,,
34871.7895,BARYON (Pi^5),223,True,50,RESONANCE,,
34942.6006,MESON (A^-1),499,True,30,NOISE,,
35222.7016,MESON (A^-1),503,True,30,NOISE,,
35497.2924,BARYON (Pi^5),227,True,50,RESONANCE,,
35642.8531,MESON (A^-1),509,True,30,NOISE,,
35810.0439,BARYON (Pi^5),229,True,50,RESONANCE,,
36435.5469,BARYON (Pi^5),233,True,50,RESONANCE,,
36483.1561,MESON (A^-1),521,True,30,NOISE,,
36623.2066,MESON (A^-1),523,True,30,NOISE,,
37373.8013,BARYON (Pi^5),239,True,50,RESONANCE,,
37686.5528,BARYON (Pi^5),241,True,50,RESONANCE,,
37883.6611,MESON (A^-1),541,True,30,NOISE,,
38303.8126,MESON (A^-1),547,True,30,NOISE,,
39004.0652,MESON (A^-1),557,True,30,NOISE,,
39250.3101,BARYON (Pi^5),251,True,50,RESONANCE,,
39424.2167,MESON (A^-1),563,True,30,NOISE,,
39844.3682,MESON (A^-1),569,True,30,NOISE,,
39984.4187,MESON (A^-1),571,True,30,NOISE,,
40188.5646,BARYON (Pi^5),257,True,50,RESONANCE,,
40404.5702,MESON (A^-1),577,True,30,NOISE,,
