AUDIT GEOMETRICKÉ TEORIE - 175 GALAXIÍ
============================================================
DDO154: Newton Err=22.68, Geom Err=5.67, Zlepšení=75.0%
NGC4217: Newton Err=64.41, Geom Err=85.25, Zlepšení=-32.4%
NGC3893: Newton Err=33.81, Geom Err=42.58, Zlepšení=-25.9%
IC2574: Newton Err=18.90, Geom Err=18.68, Zlepšení=1.2%
NGC5371: Newton Err=35.63, Geom Err=97.59, Zlepšení=-173.9%
NGC5985: Newton Err=80.55, Geom Err=29.56, Zlepšení=63.3%
NGC4051: Newton Err=29.68, Geom Err=66.03, Zlepšení=-122.5%
UGC07577: Newton Err=1.76, Geom Err=15.76, Zlepšení=-795.8%
NGC2976: Newton Err=3.68, Geom Err=17.47, Zlepšení=-374.1%
UGC07261: Newton Err=22.26, Geom Err=11.54, Zlepšení=48.2%
F565-V2: Newton Err=37.81, Geom Err=5.78, Zlepšení=84.7%
NGC7793: Newton Err=11.49, Geom Err=19.51, Zlepšení=-69.9%
NGC2903: Newton Err=61.46, Geom Err=69.26, Zlepšení=-12.7%
UGC06930: Newton Err=31.49, Geom Err=20.92, Zlepšení=33.5%
F568-1: Newton Err=59.57, Geom Err=21.11, Zlepšení=64.6%
ESO444-G084: Newton Err=31.69, Geom Err=9.95, Zlepšení=68.6%
UGC05716: Newton Err=34.86, Geom Err=5.32, Zlepšení=84.7%
UGC07559: Newton Err=6.79, Geom Err=13.58, Zlepšení=-100.0%
NGC0247: Newton Err=32.17, Geom Err=14.95, Zlepšení=53.5%
NGC3877: Newton Err=29.11, Geom Err=59.59, Zlepšení=-104.7%
NGC3109: Newton Err=29.99, Geom Err=4.77, Zlepšení=84.1%
UGC04325: Newton Err=35.33, Geom Err=8.93, Zlepšení=74.7%
UGC09133: Newton Err=61.92, Geom Err=59.81, Zlepšení=3.4%
UGC05999: Newton Err=37.19, Geom Err=17.53, Zlepšení=52.9%
UGC05253: Newton Err=44.11, Geom Err=50.31, Zlepšení=-14.1%
F583-4: Newton Err=19.02, Geom Err=14.41, Zlepšení=24.3%
UGC07524: Newton Err=26.76, Geom Err=12.61, Zlepšení=52.9%
