MASSIVE GALAXY AUDIT (SPARC DB)
================================================================================
GALAXY          | PTS   | ERR_NEWT   | ERR_GEOM   | IMPROVE
F583-4          | 12    | 17.52      | 13.55      | 22.7%
UGC07524        | 31    | 25.29      | 11.35      | 55.1%
NGC4085         | 7     | 29.70      | 54.84      | -84.7%
NGC4088         | 12    | 43.79      | 89.41      | -104.2%
PGC51017        | 6     | 3.96       | 22.40      | -465.6%
IC4202          | 32    | 23.84      | 47.00      | -97.1%
UGC00128        | 22    | 62.71      | 12.47      | 80.1%
UGCA442         | 8     | 23.96      | 3.31       | 86.2%
UGC06787        | 71    | 52.50      | 35.16      | 33.0%
NGC1003         | 36    | 42.82      | 16.60      | 61.2%
NGC6015         | 44    | 34.17      | 18.20      | 46.8%
UGC07089        | 12    | 12.01      | 25.30      | -110.7%
NGC6195         | 23    | 40.70      | 86.47      | -112.4%
UGC02885        | 19    | 59.74      | 41.77      | 30.1%
UGC07323        | 10    | 8.04       | 21.17      | -163.3%
UGC02455        | 8     | 33.10      | 56.17      | -69.7%
F563-V1         | 6     | 1.48       | 32.14      | -2069.1%
UGC04305        | 22    | 4.41       | 29.77      | -574.4%
NGC3521         | 41    | 50.48      | 66.23      | -31.2%
NGC4559         | 32    | 20.71      | 38.50      | -85.9%
UGC05918        | 8     | 17.99      | 5.30       | 70.5%
ESO563-G021     | 30    | 55.37      | 22.89      | 58.7%
NGC5005         | 18    | 53.24      | 75.49      | -41.8%
NGC2998         | 13    | 29.57      | 37.80      | -27.8%
F568-3          | 18    | 29.49      | 10.25      | 65.2%
UGC06923        | 6     | 13.99      | 19.88      | -42.1%
UGC02916        | 43    | 32.18      | 56.16      | -74.5%
D564-8          | 6     | 8.92       | 9.00       | -0.9%
F574-1          | 14    | 33.96      | 7.24       | 78.7%
UGC07690        | 7     | 11.93      | 12.90      | -8.1%
NGC4068         | 6     | 4.80       | 15.34      | -219.5%
NGC2683         | 11    | 28.57      | 47.23      | -65.3%
F571-8          | 13    | 42.51      | 32.43      | 23.7%
UGC06786        | 45    | 38.17      | 17.71      | 53.6%
UGC03546        | 30    | 61.37      | 75.39      | -22.8%
DDO168          | 10    | 15.87      | 7.85       | 50.5%
UGC06399        | 9     | 26.55      | 7.08       | 73.3%
NGC4138         | 7     | 27.22      | 37.35      | -37.2%
NGC4013         | 36    | 33.42      | 46.29      | -38.5%
UGC06983        | 17    | 40.60      | 6.78       | 83.3%
UGC07232        | 4     | 6.20       | 6.13       | 1.1%
UGC06446        | 17    | 36.56      | 4.42       | 87.9%
F568-V1         | 15    | 52.05      | 14.17      | 72.8%
UGC08837        | 8     | 5.91       | 19.56      | -230.9%
NGC7331         | 36    | 56.27      | 92.54      | -64.5%
UGC12506        | 31    | 78.11      | 17.59      | 77.5%
NGC5055         | 28    | 52.75      | 81.04      | -53.6%
UGC05986        | 15    | 35.20      | 5.32       | 84.9%
NGC5033         | 22    | 56.30      | 39.86      | 29.2%
DDO170          | 8     | 23.43      | 15.64      | 33.2%
F567-2          | 5     | 11.46      | 25.61      | -123.5%
NGC3769         | 12    | 34.84      | 35.61      | -2.2%
NGC0891         | 18    | 50.97      | 87.49      | -71.7%
F563-1          | 17    | 54.09      | 12.41      | 77.1%
F579-V1         | 14    | 38.21      | 13.79      | 63.9%
UGC01230        | 11    | 40.65      | 16.48      | 59.5%
UGC04483        | 8     | 6.19       | 6.15       | 0.6%
UGC07399        | 10    | 48.77      | 19.40      | 60.2%
UGC02023        | 5     | 6.42       | 20.86      | -224.7%
UGC05005        | 11    | 27.09      | 22.14      | 18.3%
D512-2          | 4     | 12.12      | 11.62      | 4.1%
DDO064          | 14    | 13.34      | 5.04       | 62.2%
NGC0289         | 28    | 51.46      | 46.60      | 9.4%
