SIMULATION LOG - STABLE CANDIDATES ONLY
VACUUM_FREQ: 137.035999
------------------------------------------------------------
FREQ_HZ      | RATIO (w/vac)   | MAX_STRAIN   | STATUS
4.6781       | 0.034138        | 0.999885     | STABLE
4.7080       | 0.034356        | 0.999913     | STABLE
4.7379       | 0.034574        | 0.999914     | STABLE
4.7678       | 0.034792        | 0.999853     | STABLE
4.7977       | 0.035010        | 0.999863     | STABLE
4.8276       | 0.035229        | 0.999987     | STABLE
4.8575       | 0.035447        | 0.999772     | STABLE
4.8874       | 0.035665        | 0.999977     | STABLE
4.9173       | 0.035883        | 0.999941     | STABLE
4.9472       | 0.036101        | 0.999854     | STABLE
4.9771       | 0.036320        | 0.999287     | STABLE
5.0070       | 0.036538        | 0.999854     | STABLE
5.0369       | 0.036756        | 0.999790     | STABLE
5.0668       | 0.036974        | 0.999984     | STABLE
5.0967       | 0.037192        | 0.999872     | STABLE
5.1266       | 0.037411        | 0.999706     | STABLE
5.1565       | 0.037629        | 0.999806     | STABLE
5.1864       | 0.037847        | 0.999920     | STABLE
5.2163       | 0.038065        | 0.999899     | STABLE
5.2462       | 0.038284        | 0.999873     | STABLE
5.2761       | 0.038502        | 0.999881     | STABLE
5.3060       | 0.038720        | 0.999904     | STABLE
5.3359       | 0.038938        | 0.999855     | STABLE
5.3658       | 0.039156        | 0.999916     | STABLE
5.3957       | 0.039375        | 0.999975     | STABLE
5.4256       | 0.039593        | 0.999864     | STABLE
5.4555       | 0.039811        | 0.999932     | STABLE
5.4854       | 0.040029        | 0.999998     | STABLE
5.5154       | 0.040247        | 0.999835     | STABLE
5.5453       | 0.040466        | 0.999935     | STABLE
5.5752       | 0.040684        | 0.999947     | STABLE
5.6051       | 0.040902        | 0.999916     | STABLE
5.6350       | 0.041120        | 0.999970     | STABLE
5.6649       | 0.041339        | 0.999997     | STABLE
5.6948       | 0.041557        | 0.999805     | STABLE
5.7247       | 0.041775        | 0.999982     | STABLE
5.7546       | 0.041993        | 0.999943     | STABLE
5.7845       | 0.042211        | 0.999891     | STABLE
5.8144       | 0.042430        | 0.998971     | STABLE
5.8443       | 0.042648        | 0.999733     | STABLE
5.8742       | 0.042866        | 0.999909     | STABLE
5.9041       | 0.043084        | 0.999306     | STABLE
5.9340       | 0.043302        | 0.999771     | STABLE
5.9639       | 0.043521        | 0.999919     | STABLE
5.9938       | 0.043739        | 0.999857     | STABLE
6.0237       | 0.043957        | 0.999958     | STABLE
6.0536       | 0.044175        | 0.999963     | STABLE
6.0835       | 0.044394        | 0.999816     | STABLE
6.1134       | 0.044612        | 0.999804     | STABLE
6.1433       | 0.044830        | 0.999980     | STABLE
6.1732       | 0.045048        | 0.999906     | STABLE
6.2031       | 0.045266        | 0.999871     | STABLE
6.2330       | 0.045485        | 0.999911     | STABLE
6.2629       | 0.045703        | 0.999975     | STABLE
6.2928       | 0.045921        | 0.999927     | STABLE
6.3227       | 0.046139        | 0.999714     | STABLE
6.3526       | 0.046357        | 0.999843     | STABLE
6.3825       | 0.046576        | 0.999924     | STABLE
6.4124       | 0.046794        | 0.999938     | STABLE
6.4423       | 0.047012        | 0.999971     | STABLE
6.4722       | 0.047230        | 0.999465     | STABLE
6.5022       | 0.047448        | 0.999976     | STABLE
6.5321       | 0.047667        | 0.999987     | STABLE
6.5620       | 0.047885        | 0.999637     | STABLE
6.5919       | 0.048103        | 0.999904     | STABLE
6.6218       | 0.048321        | 0.999868     | STABLE
6.6517       | 0.048540        | 0.999937     | STABLE
6.6816       | 0.048758        | 0.999995     | STABLE
6.7115       | 0.048976        | 0.999973     | STABLE
6.7414       | 0.049194        | 0.999992     | STABLE
6.7713       | 0.049412        | 0.999815     | STABLE
6.8012       | 0.049631        | 0.999932     | STABLE
6.8311       | 0.049849        | 0.999999     | STABLE
6.8610       | 0.050067        | 0.999930     | STABLE
6.8909       | 0.050285        | 0.999852     | STABLE
6.9208       | 0.050503        | 0.999715     | STABLE
6.9507       | 0.050722        | 0.999958     | STABLE
6.9806       | 0.050940        | 0.999963     | STABLE
7.0105       | 0.051158        | 0.999976     | STABLE
7.0404       | 0.051376        | 0.999985     | STABLE
7.0703       | 0.051595        | 0.999910     | STABLE
7.1002       | 0.051813        | 0.999433     | STABLE
7.1301       | 0.052031        | 0.999967     | STABLE
7.1600       | 0.052249        | 0.999769     | STABLE
7.1899       | 0.052467        | 0.999997     | STABLE
7.2198       | 0.052686        | 0.999892     | STABLE
7.2497       | 0.052904        | 0.999856     | STABLE
7.2796       | 0.053122        | 0.999980     | STABLE
7.3095       | 0.053340        | 0.999959     | STABLE
7.3394       | 0.053558        | 0.999770     | STABLE
7.3693       | 0.053777        | 0.999945     | STABLE
7.3992       | 0.053995        | 0.999898     | STABLE
7.4291       | 0.054213        | 0.999915     | STABLE
7.4590       | 0.054431        | 0.999150     | STABLE
7.4889       | 0.054650        | 0.999935     | STABLE
7.5189       | 0.054868        | 0.999989     | STABLE
7.5488       | 0.055086        | 0.999868     | STABLE
7.5787       | 0.055304        | 0.999945     | STABLE
7.6086       | 0.055522        | 0.999987     | STABLE
7.6385       | 0.055741        | 0.999775     | STABLE
7.6684       | 0.055959        | 0.999756     | STABLE
7.6983       | 0.056177        | 0.999878     | STABLE
7.7282       | 0.056395        | 0.999901     | STABLE
7.7581       | 0.056613        | 0.999650     | STABLE
7.7880       | 0.056832        | 0.999906     | STABLE
